0.2	1.0
0.91	2.0
1.65	3.0
2.36	4.0
3.06	1.0
3.78	2.0
4.5	3.0
5.2	4.0
5.92	1.0
6.63	2.0
7.37	3.0
8.06	4.0
8.79	1.0
9.49	2.0
10.23	3.0
10.92	4.0
11.65	1.0
12.36	2.0
13.08	3.0
13.8	4.0
14.5	1.0
15.21	2.0
15.93	3.0
16.63	4.0
17.36	1.0
18.09	2.0
18.78	3.0
19.52	4.0
20.22	1.0
20.95	2.0
21.66	3.0
22.37	4.0
23.08	1.0
23.81	2.0
24.53	3.0
25.24	4.0
25.94	1.0
26.67	2.0
27.38	3.0
28.09	4.0
28.79	1.0
29.52	2.0
30.24	3.0
30.96	4.0
31.65	1.0
32.38	2.0
33.1	3.0
33.81	4.0
34.51	1.0
35.24	2.0
35.96	3.0
36.67	4.0
37.37	1.0
38.1	2.0
38.81	3.0
39.53	4.0
40.23	1.0
40.96	2.0
41.67	3.0
42.38	4.0
43.09	1.0
43.81	2.0
44.5	3.0
45.21	4.0
45.94	1.0
46.62	2.0
47.38	3.0
48.1	4.0
48.8	1.0
49.52	2.0
50.23	3.0
50.93	4.0
51.66	1.0
52.38	2.0
53.08	3.0
53.8	4.0
54.51	1.0
55.23	2.0
55.95	3.0
56.67	4.0
57.38	1.0
58.1	2.0
58.79	3.0
59.49	4.0
60.23	1.0
60.94	2.0
61.66	3.0
62.37	4.0
63.08	1.0
63.81	2.0
64.51	3.0
65.21	4.0
65.94	1.0
66.67	2.0
67.38	3.0
68.1	4.0
68.79	1.0
69.51	2.0
70.23	3.0
70.93	4.0
71.65	1.0
72.35	2.0
73.09	3.0
73.81	4.0
74.5	1.0
75.23	2.0
75.95	3.0
76.68	4.0
77.37	1.0
78.07	2.0
78.8	3.0
79.51	4.0
80.22	1.0
80.94	2.0
81.66	3.0
82.38	4.0
83.09	1.0
83.81	2.0
84.52	3.0
85.25	4.0
85.93	1.0
86.67	2.0
87.37	3.0
88.09	4.0
88.79	1.0
89.52	2.0
90.24	3.0
90.96	4.0
91.65	1.0
92.37	2.0
93.09	3.0
93.81	4.0
94.51	1.0
95.24	2.0
95.95	3.0
96.66	4.0
97.37	1.0
98.09	2.0
98.81	3.0
99.53	4.0
100.22	1.0
100.95	2.0
101.67	3.0
102.38	4.0
103.08	1.0
103.8	2.0
104.53	3.0
105.23	4.0
105.95	1.0
106.66	2.0
107.38	3.0
108.1	4.0
108.79	1.0
109.52	2.0
110.23	3.0
110.95	4.0
111.65	1.0
112.37	2.0
113.09	3.0
113.81	4.0
114.51	1.0
115.22	2.0
115.95	3.0
116.66	4.0
117.37	1.0
118.09	2.0
118.81	3.0
119.5	4.0
120.22	1.0
120.93	2.0
121.67	3.0
122.38	4.0
123.09	1.0
123.82	2.0
124.52	3.0
125.24	4.0
125.95	1.0
126.66	2.0
127.38	3.0
128.09	4.0
128.79	1.0
129.5	2.0
130.23	3.0
130.95	4.0
131.66	1.0
132.38	2.0
133.09	3.0
133.81	4.0
134.51	1.0
135.23	2.0
135.95	3.0
136.68	4.0
137.37	1.0
138.08	2.0
138.81	3.0
139.53	4.0
140.22	1.0
140.96	2.0
141.66	3.0
142.39	4.0
143.08	1.0
143.79	2.0
144.53	3.0
145.24	4.0
145.94	1.0
146.67	2.0
147.38	3.0
148.1	4.0
148.8	1.0
149.53	2.0
150.24	3.0
150.95	4.0
151.66	1.0
152.39	2.0
153.09	3.0
153.81	4.0
154.52	1.0
155.24	2.0
155.95	3.0
156.67	4.0
157.37	1.0
158.1	2.0
158.81	3.0
159.53	4.0
160.23	1.0
160.96	2.0
161.67	3.0
162.39	4.0
163.08	1.0
163.81	2.0
164.53	3.0
165.23	4.0
165.96	1.0
166.68	2.0
167.38	3.0
168.1	4.0
168.8	1.0
169.53	2.0
170.24	3.0
170.96	4.0
171.66	1.0
172.39	2.0
173.1	3.0
173.82	4.0
174.52	1.0
175.23	2.0
175.96	3.0
176.66	4.0
177.36	1.0
178.07	2.0
178.81	3.0
179.52	4.0
180.24	1.0
180.96	2.0
181.67	3.0
182.39	4.0
183.1	1.0
183.81	2.0
184.52	3.0
185.24	4.0
185.94	1.0
186.65	2.0
187.38	3.0
188.1	4.0
188.81	1.0
189.53	2.0
190.24	3.0
190.96	4.0
191.66	1.0
192.38	2.0
193.1	3.0
193.8	4.0
194.52	1.0
195.23	2.0
195.96	3.0
196.68	4.0
197.37	1.0
198.09	2.0
198.82	3.0
199.52	4.0
200.23	1.0
200.96	2.0
201.67	3.0
202.37	4.0
203.09	1.0
203.82	2.0
204.53	3.0
205.24	4.0
205.94	1.0
206.67	2.0
207.38	3.0
208.09	4.0
208.81	1.0
209.53	2.0
210.24	3.0
210.95	4.0
211.67	1.0
212.39	2.0
213.1	3.0
213.82	4.0
214.52	1.0
215.24	2.0
215.96	3.0
216.67	4.0
217.38	1.0
218.07	2.0
218.81	3.0
219.53	4.0
220.24	1.0
220.96	2.0
221.67	3.0
222.38	4.0
223.09	1.0
223.82	2.0
224.53	3.0
225.24	4.0
225.96	1.0
226.66	2.0
227.39	3.0
228.09	4.0
228.82	1.0
229.53	2.0
230.24	3.0
230.95	4.0
231.66	1.0
232.36	2.0
233.11	3.0
233.81	4.0
234.52	1.0
235.25	2.0
235.96	3.0
236.67	4.0
237.38	1.0
